birth_date,postcode,gender,salary
1978-Q2,1102,F,55000
1978-Q4,1101,F,71000
1978-Q1,1100,F,55000
1978-Q2,1104,F,32000
1978-Q3,1100,F,48000
1978-Q2,1104,F,32000
1978-Q1,1103,F,48000
1978-Q2,1102,F,63000
1978-Q3,1102,M,32000
1978-Q3,1103,M,63000
1978-Q3,1101,M,71000
1978-Q4,1104,M,48000
1978-Q4,1101,M,32000
1978-Q3,1203,F,63000
1978-Q1,1200,F,41000
1978-Q2,1204,F,48000
1978-Q3,1204,F,32000
1978-Q3,1203,F,88000
1978-Q3,1202,F,71000
1978-Q2,1203,F,55000
1978-Q3,1200,M,55000
1978-Q1,1200,M,48000
1978-Q2,1204,M,55000
1978-Q3,1201,M,63000
1978-Q4,1202,M,88000
1978-Q1,1200,M,88000
1978-Q1,1203,M,71000
1978-Q1,1202,M,32000
1978-Q2,1200,M,32000
1978-Q1,1300,F,32000
1978-Q1,1302,F,32000
1978-Q3,1304,F,71000
1978-Q1,1301,F,32000
1978-Q3,1301,F,48000
1978-Q3,1301,F,71000
1978-Q3,1302,F,63000
1978-Q3,1300,M,48000
1978-Q4,1301,M,63000
1978-Q4,1300,M,71000
1978-Q4,1302,M,88000
1978-Q2,1302,M,63000
1978-Q4,1301,M,63000
1978-Q3,1300,M,63000
1978-Q1,1302,M,71000
1978-Q1,1401,F,32000
1978-Q1,1401,F,48000
1978-Q2,1402,F,55000
1978-Q3,1401,F,41000
1978-Q4,1402,F,48000
1978-Q1,1404,F,71000
1978-Q1,1401,F,41000
1978-Q1,1402,F,48000
1978-Q3,1400,F,88000
1978-Q1,1400,M,32000
1978-Q3,1404,M,48000
1978-Q2,1403,M,55000
1978-Q2,1401,M,55000
1978-Q3,1401,M,48000
1984-Q4,1101,F,48000
1984-Q4,1102,F,71000
1984-Q2,1102,F,71000
1984-Q2,1102,F,55000
1984-Q4,1102,F,32000
1984-Q1,1104,F,88000
1984-Q4,1103,F,63000
1984-Q2,1102,M,41000
1984-Q1,1100,M,88000
1984-Q2,1100,M,41000
1984-Q1,1101,M,63000
1984-Q1,1103,M,48000
1984-Q1,1104,M,48000
1984-Q2,1202,F,71000
1984-Q1,1201,F,32000
1984-Q1,1200,F,48000
1984-Q3,1201,F,88000
1984-Q2,1204,F,63000
1984-Q3,1203,F,63000
1984-Q4,1200,F,41000
1984-Q1,1200,F,32000
1984-Q4,1204,M,71000
1984-Q1,1204,M,88000
1984-Q2,1203,M,63000
1984-Q2,1201,M,41000
1984-Q2,1202,M,63000
1984-Q1,1203,M,48000
1984-Q1,1204,M,41000
1984-Q4,1204,M,71000
1984-Q4,1202,M,71000
1984-Q1,1304,F,48000
1984-Q3,1303,F,71000
1984-Q1,1304,F,48000
1984-Q2,1301,F,63000
1984-Q4,1303,F,41000
1984-Q4,1302,F,55000
1984-Q2,1301,F,32000
1984-Q4,1303,F,55000
1984-Q1,1302,M,55000
1984-Q3,1302,M,55000
1984-Q3,1301,M,63000
1984-Q4,1303,M,88000
1984-Q2,1302,M,48000
1984-Q1,1404,F,63000
1984-Q1,1400,F,32000
1984-Q2,1404,F,71000
1984-Q3,1400,F,41000
1984-Q1,1402,F,88000
1984-Q2,1403,F,63000
1984-Q3,1402,F,88000
1984-Q1,1401,F,88000
1984-Q2,1403,F,55000
1984-Q2,1404,M,48000
1984-Q1,1402,M,32000
1984-Q4,1404,M,48000
1984-Q2,1400,M,32000
1984-Q3,1400,M,88000
1984-Q4,1402,M,88000
1990-Q4,1104,F,55000
1990-Q4,1102,F,32000
1990-Q3,1100,F,55000
1990-Q3,1102,F,63000
1990-Q3,1103,F,71000
1990-Q1,1104,M,63000
1990-Q2,1101,M,41000
1990-Q3,1104,M,32000
1990-Q4,1100,M,32000
1990-Q4,1104,M,63000
1990-Q3,1204,F,41000
1990-Q3,1202,F,88000
1990-Q3,1202,F,63000
1990-Q3,1202,F,71000
1990-Q3,1203,F,71000
1990-Q4,1202,F,88000
1990-Q3,1203,M,41000
1990-Q4,1204,M,48000
1990-Q4,1200,M,48000
1990-Q1,1202,M,41000
1990-Q2,1203,M,48000
1990-Q3,1202,M,32000
1990-Q3,1201,M,88000
1990-Q4,1200,M,32000
1990-Q4,1303,F,88000
