birth_date,postcode,gender,salary
1978,110,F,55000
1978,110,F,71000
1978,110,F,55000
1978,110,F,32000
1978,110,F,48000
1978,110,F,32000
1978,110,F,48000
1978,110,F,63000
1978,110,M,32000
1978,110,M,63000
1978,110,M,71000
1978,110,M,48000
1978,110,M,32000
1978,120,F,63000
1978,120,F,41000
1978,120,F,48000
1978,120,F,32000
1978,120,F,88000
1978,120,F,71000
1978,120,F,55000
1978,120,M,55000
1978,120,M,48000
1978,120,M,55000
1978,120,M,63000
1978,120,M,88000
1978,120,M,88000
1978,120,M,71000
1978,120,M,32000
1978,120,M,32000
1978,130,F,32000
1978,130,F,32000
1978,130,F,71000
1978,130,F,32000
1978,130,F,48000
1978,130,F,71000
1978,130,F,63000
1978,130,M,48000
1978,130,M,63000
1978,130,M,71000
1978,130,M,88000
1978,130,M,63000
1978,130,M,63000
1978,130,M,63000
1978,130,M,71000
1978,140,F,32000
1978,140,F,48000
1978,140,F,55000
1978,140,F,41000
1978,140,F,48000
1978,140,F,71000
1978,140,F,41000
1978,140,F,48000
1978,140,F,88000
1978,140,M,32000
1978,140,M,48000
1978,140,M,55000
1978,140,M,55000
1978,140,M,48000
1984,110,F,48000
1984,110,F,71000
1984,110,F,71000
1984,110,F,55000
1984,110,F,32000
1984,110,F,88000
1984,110,F,63000
1984,110,M,41000
1984,110,M,88000
1984,110,M,41000
1984,110,M,63000
1984,110,M,48000
1984,110,M,48000
1984,120,F,71000
1984,120,F,32000
1984,120,F,48000
1984,120,F,88000
1984,120,F,63000
1984,120,F,63000
1984,120,F,41000
1984,120,F,32000
1984,120,M,71000
1984,120,M,88000
1984,120,M,63000
1984,120,M,41000
1984,120,M,63000
1984,120,M,48000
1984,120,M,41000
1984,120,M,71000
1984,120,M,71000
1984,130,F,48000
1984,130,F,71000
1984,130,F,48000
1984,130,F,63000
1984,130,F,41000
1984,130,F,55000
1984,130,F,32000
1984,130,F,55000
1984,130,M,55000
1984,130,M,55000
1984,130,M,63000
1984,130,M,88000
1984,130,M,48000
1984,140,F,63000
1984,140,F,32000
1984,140,F,71000
1984,140,F,41000
1984,140,F,88000
1984,140,F,63000
1984,140,F,88000
1984,140,F,88000
1984,140,F,55000
1984,140,M,48000
1984,140,M,32000
1984,140,M,48000
1984,140,M,32000
1984,140,M,88000
1984,140,M,88000
1990,110,F,55000
1990,110,F,32000
1990,110,F,55000
1990,110,F,63000
1990,110,F,71000
1990,110,M,63000
1990,110,M,41000
1990,110,M,32000
1990,110,M,32000
1990,110,M,63000
1990,120,F,41000
1990,120,F,88000
1990,120,F,63000
1990,120,F,71000
1990,120,F,71000
1990,120,F,88000
1990,120,M,41000
1990,120,M,48000
1990,120,M,48000
1990,120,M,41000
1990,120,M,48000
1990,120,M,32000
1990,120,M,88000
1990,120,M,32000
1990,130,F,88000
1990,130,F,32000
1990,130,F,63000
1990,130,F,63000
1990,130,F,32000
1990,130,F,63000
1990,130,M,63000
1990,130,M,48000
1990,130,M,41000
1990,130,M,63000
1990,130,M,32000
1990,130,M,55000
1990,140,F,55000
1990,140,F,55000
1990,140,F,63000
1990,140,F,48000
1990,140,F,48000
1990,140,F,41000
1990,140,F,88000
1990,140,F,88000
1990,140,F,41000
1990,140,M,32000
1990,140,M,32000
1990,140,M,71000
1990,140,M,63000
1990,140,M,41000
1990,140,M,55000
1996,110,F,32000
1996,110,F,88000
1996,110,F,32000
1996,110,F,71000
1996,110,F,55000
1996,110,F,48000
1996,110,F,63000
1996,110,M,88000
1996,110,M,48000
1996,110,M,55000
1996,110,M,55000
1996,110,M,55000
1996,110,M,55000
1996,110,M,48000
1996,110,M,63000
1996,120,F,63000
1996,120,F,88000
1996,120,F,63000
1996,120,F,88000
1996,120,F,48000
1996,120,F,32000
1996,120,F,55000
1996,120,F,63000
1996,120,F,55000
1996,120,M,55000
1996,120,M,32000
1996,120,M,71000
1996,120,M,41000
1996,120,M,48000
1996,120,M,71000
1996,120,M,41000
1996,130,F,71000
1996,130,F,32000
1996,130,F,63000
1996,130,F,55000
1996,130,F,41000
1996,130,M,41000
1996,130,M,41000
1996,130,M,48000
1996,130,M,32000
1996,130,M,71000
1996,130,M,48000
1996,140,F,63000
1996,140,F,41000
1996,140,F,71000
1996,140,F,88000
1996,140,F,41000
1996,140,F,88000
1996,140,M,88000
1996,140,M,48000
1996,140,M,48000
1996,140,M,55000
1996,140,M,32000
1996,140,M,55000
1996,140,M,71000
